Key,Source,Context,Changes,English,French,German,Klingon,Spanish,Polish





ammoShotgunShell,items,Ammo,New,12 Gauge Shotgun Shell (AMMO),,,,,
ammoShotgunShellSchematic,items,Ammo,New,12 Gauge Shotgun Shell Schematic,,,,,
ammoShotgunShellDesc,items,Ammo,New,12 Gauge Shotgun Shell Ammo\nCan be crafted at a workbench.\n\nBace Damage: 14\nPellet Count: 10\nArmor-piercing: 40%\nPenetration Count: 2,,,,,
ammoBundleShotgunShell,items,Ammo,New,Box of 12 Gauge Shotgun Shells (100),,,,,

ammoShotgunSlug,items,Ammo,New,12 Gauge Shotgun Slug (AMMO),,,,,
ammoShotgunSlugDesc,items,Ammo,New,12 Gauge Shotgun Slug Ammo\nCan be crafted at a workbench.\n\nBace Damage: 120\nPellet Count: 1\nArmor-piercing: -20%\nPenetration Count: 2,,,,,
ammoBundleShotgunSlug,items,Ammo,New,Box of 12 Gauge Shotgun Slugs (100),,,,,

ammoShotgunBreachingSlug,items,Ammo,New,12 Gauge Breaching Slug (AMMO),,,,,
ammoShotgunBreachingSlugDesc,items,Ammo,New,12 Gauge Breaching Slug Ammo\nCan be crafted at a workbench.\n\nBace Damage: 120\nBace Block Damage: 80\nBace Door&Wood Damage: 1000\nPellet Count: 1\nArmor-piercing: 0%\nPenetration Count: 0,,,,,
ammoBundleShotgunBreachingSlug,items,Ammo,New,Box of 12 Gauge Breaching Slugs (100),,,,,





ammo762mmBulletBall,items,Ammo,New,7.62x39mm (AMMO),,,,,
ammo762mmBulletBallSchematic,items,Ammo,New,7.62x39mm Schematic,,,,,
ammo762mmBulletBallDesc,items,Ammo,New,7.62x39mm Ammo\nCan be crafted at a workbench.\n\nBace Damage: 50\nArmor-piercing: 0%\nPenetration Count: 0,,,,,
ammoBundle762mmBulletBall,items,Ammo,New,Box of 7.62x39mm (100),,,,,

ammo762mmBulletHP,items,Ammo,New,7.62x39mm Hollow Point (AMMO),,,,,
ammo762mmBulletHPDesc,items,Ammo,New,7.62x39mm Hollow Point Ammo\nCan be crafted at a workbench.\n\nBace Damage: 65\nArmor-piercing: 100%\nPenetration Count: 0,,,,,
ammoBundle762mmBulletHP,items,Ammo,New,Box of 7.62x39mm Hollow Points (100),,,,,

ammo762mmBulletAP,items,Ammo,New,Armor Piercing 7.62x39mm (AMMO),,,,,
ammo762mmBulletAPDesc,items,Ammo,New,Armor Piercing 7.62x39mm Ammo\nCan be crafted at a workbench.\n\nBace Damage: 50\nArmor-piercing: -20%\nPenetration Count: 1\nDegradation: 30%,,,,,
ammoBundle762mmBulletAP,items,Ammo,New,Box of Armor Piercing 7.62x39mm (100),,,,,


Receiver762x39mm,items,Ammo,New,Receiver [7.62x39mm],,,,,
Receiver762x39mmDesc,items,Ammo,New,A secondary component for crafting a conversion kit,,,,,

Barrel762x39mm,items,Ammo,New,Barrel [7.62x39mm],,,,,
Barrel762x39mmDesc,items,Ammo,New,A primary component for crafting a conversion kit,,,,,

Conversionkit762x39mm,items,Ammo,New,Conversion kit [7.62x39mm],,,,,
Conversionkit762x39mmDesc,items,Ammo,New,Conversion kits are used to create a new weapon with the modified caliber,,,,,

