Key,Source,Context,Changes,English
perkYeahScienceDesc,progression,Perk,New,"Use Chemistry to create medical items, drugs, fuel and explosive traps.",,,,,
perkYeahScienceName,progression,Perk,New,"Yeah, Science!",,,,,
perkYeahScienceRank1Desc,progression,Perk,New,Scholar,,,,,
perkYeahScienceRank1LongDesc,progression,Perk,New,You have started on the path of science and are scholar. Craft chemistry stations and craft items with them 20% faster.,,,,,
perkYeahScienceRank2Desc,progression,Perk,New,Professor,,,,,
perkYeahScienceRank2LongDesc,progression,Perk,New,"You're now a professor and are learning practical science. Craft advanced medical items such as first aid bandages and plaster casts, cooking pot and pressure plate mines, gasoline & oil.  ",,,,,
perkYeahScienceRank3Desc,progression,Perk,New,Chemist,,,,,
perkYeahScienceRank3LongDesc,progression,Perk,New,"Your friends call you the chemist and your enemies go boom. Craft first aid kits, steroids, military fiber and hub cap mines.",,,,,
perkYeahScienceRank4Desc,progression,Perk,New,Research Scientist,,,,,
perkYeahScienceRank4LongDesc,progression,Perk,New,"You've advanced to research scientist. Craft antibiotics, battery banks, batteries and air filter mines, bottle of acid.",,,,,
perkYeahScienceRank5Desc,progression,Perk,New,Quantum Physicist,,,,,
perkYeahScienceRank5LongDesc,progression,Perk,New,Nobody understands quantum physics but it sounds cool so you'll take the title. Craft fortbites and recog.,,,,,
